"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "protein" "chr"
"evgLocus_822167" 397.3656047935 11.9335709064183 2.02465017825944 5.89413965659856 3.766385328052e-09 2.1828950694895e-07 "YPEL2_PONAB" "chr_19"
"evgLocus_321557" 401.664743474083 11.9489429228263 2.02771648597858 5.89280750314547 3.79688629330657e-09 2.1927691550635e-07 "." "chr_28"
"evgLocus_223578" 392.160740927216 7.57531940233435 1.28617597903271 5.8898000940987 3.86663060673815e-09 2.21732204441329e-07 "." NA
"evgLocus_280148" 360.011782512292 6.51357783122156 1.10860678075928 5.8754627377982 4.21663810088268e-09 2.38445028163109e-07 "." "chr_09"
"evgLocus_5647" 2597.46955610853 9.62398018850907 1.64356098004742 5.85556624022032 4.75387492335458e-09 2.60678811453713e-07 "RS23_SPOFR" "chr_03"
"evgLocus_745378" 164.891392026512 6.10572396605324 1.04490886138019 5.84330767181777 5.11743743487241e-09 2.75058039816277e-07 "." "chr_27"
"evgLocus_453617" 238.925425600576 8.76773556900844 1.50194971355578 5.83756932064743 5.29678594825516e-09 2.8190671880158e-07 "." "chr_02"
"evgLocus_353819" 224.781840844248 11.1114701620488 1.90874817588681 5.82133898144337 5.83780305611126e-09 3.07684338420155e-07 "." "chr_16"
"evgLocus_415698" 305.552861455567 5.56812265200428 0.960013552567663 5.80004588176044 6.62967773993681e-09 3.46060678437856e-07 "PEBPH_CAEEL" "chr_23"
"evgLocus_340389" 1676.21254061859 8.07464429163946 1.39231728178649 5.79942833236894 6.65413686892369e-09 3.46227709416266e-07 "ACE_DROME" "chr_06"
"evgLocus_126627" 119.290579727832 10.1976304291476 1.76428858336169 5.78002404216489 7.46899510516938e-09 3.82334264266875e-07 "." NA
"evgLocus_356652" 7059.95622622315 4.59328503199538 0.794744331360358 5.7795757084962 7.4889248619141e-09 3.82334264266875e-07 "GTR1_PIG" NA
"evgLocus_123520" 344.029114734986 4.07254562508953 0.704833332387118 5.77802643257052 7.55819365543051e-09 3.84664818351067e-07 "ACPM_DROME" NA
"evgLocus_126441" 154.498983863703 10.570481862109 1.83031030632656 5.77524031065751 7.68433323047148e-09 3.88655437861672e-07 "." "chr_28"
"evgLocus_802021" 114.534279921068 10.1389582740679 1.75649538579565 5.77226581752461 7.82126021600744e-09 3.94356172996586e-07 "." "chr_18"
"evgLocus_469064" 3668.99854977091 5.35021851550548 0.927071613762112 5.77109517332105 7.87579739526727e-09 3.94377604203951e-07 "." "chr_Z"
"evgLocus_437187" 106.756315528511 10.0375353276447 1.74161613180718 5.76334540334632 8.24627887238682e-09 4.10699993014348e-07 "." "chr_05"
"evgLocus_608230" 185.321684509702 7.34169011814598 1.27419618572383 5.76182082508385 8.32113091141344e-09 4.13164445192925e-07 "." "chr_28"
"evgLocus_147182" 140.303639206826 4.84240921339527 0.840783373857843 5.75940172458025 8.44125880805027e-09 4.17855139659291e-07 "." "chr_11"
"evgLocus_200842" 206.623245799832 9.60973523710942 1.67151398699004 5.7491204452402 8.97088967973282e-09 4.40059967843761e-07 "." NA
"evgLocus_334320" 240.028347827245 11.2066363170014 1.94958547480299 5.74821492149957 9.01905521496167e-09 4.41094093786384e-07 "." "chr_26"
"evgLocus_120611" 2643.40378188145 12.5231473011157 2.18240013622009 5.73824528933808 9.56624987543041e-09 4.59836391859874e-07 "BBP_PIEBR" NA
"evgLocus_310179" 219.639714119029 11.0779567544272 1.93046948901356 5.73847803214332 9.55311519614065e-09 4.59836391859874e-07 "E75_MANSE" "chr_20"
"evgLocus_311742" 343.858247626938 11.7248652564789 2.04331837272551 5.73814898989014 9.57168960091472e-09 4.59836391859874e-07 "." NA
"evgLocus_491864" 188.864603463595 6.33671870635496 1.10479149654721 5.73566933322626 9.7127995552788e-09 4.65243098697855e-07 "." "chr_Z"
"evgLocus_253015" 299.071426781876 8.36279636469781 1.45849758435544 5.73384313721273 9.81801388434491e-09 4.68903736423581e-07 "." "chr_01"
"evgLocus_297237" 106.621526916989 10.0358274545804 1.75446485004657 5.72016444462482 1.06421003848831e-08 5.02368831502048e-07 "MO4L1_RAT" "chr_04"
"evgLocus_331686" 308.07706509354 11.5666396226217 2.02303061666945 5.71748125179838 1.08114599483185e-08 5.07422007833763e-07 "CBR3_HUMAN" "chr_28"
"evgLocus_663102" 114.979951092625 6.07378733988234 1.06801626194658 5.68698020460115 1.29305438281406e-08 5.93202357141121e-07 "." NA
"evgLocus_448480" 317.78449262915 9.39150641004435 1.65291310624484 5.68179075751923 1.33291674336215e-08 6.08063923876636e-07 "." "chr_12"
"evgLocus_604712" 3049.85967819563 8.18883427160349 1.44234562529414 5.67744244375098 1.36723507915071e-08 6.2024486069773e-07 "NU4M_CERCA" NA
"evgLocus_323115" 758.300438950296 10.1457596135205 1.78738168851854 5.67632514011586 1.37619090753168e-08 6.22573475557249e-07 "RS8_SPOFR" "chr_11"
"evgLocus_802918" 2401.41571203103 4.17509009753593 0.738629365784306 5.65248322222154 1.58146239683577e-08 6.97986357584483e-07 "." "chr_10"
"evgLocus_489132" 88.3326038680824 9.7638676304045 1.72796823400011 5.6504902337249 1.59990897084823e-08 7.00514277325419e-07 "." "chr_13"
"evgLocus_90614" 354.640348892887 11.7695406124764 2.08474576600242 5.64555199219568 1.64652100933292e-08 7.15073097546557e-07 "." NA
"evgLocus_147471" 742.65259165935 7.16447037129654 1.27098661503693 5.6369361301955 1.73102277013683e-08 7.47783470409771e-07 "." "chr_24"
"evgLocus_558333" 133.673752921853 5.03434122411063 0.895943177921954 5.61904074741353 1.92020570471395e-08 8.25131137387109e-07 "CL190_DROME" "chr_20"
"evgLocus_229373" 377.767536568044 7.45220030911194 1.32672852369664 5.61697451740016 1.94330069322054e-08 8.3285776552078e-07 "." "chr_Z"
"evgLocus_322368" 384.172559128823 9.13149166552651 1.62597544055939 5.61600835888701 1.95419211161637e-08 8.35327368235804e-07 "." "chr_07"
"evgLocus_236836" 76.0441712517511 5.30394722561148 0.945243976506382 5.61119389008418 2.00935474460268e-08 8.52799543690393e-07 "." "chr_Z"
"evgLocus_758219" 108.082469749851 6.84174161036432 1.21932888926575 5.61107152516026 2.01077627887211e-08 8.52799543690393e-07 "CWC22_MUSDO" "chr_01"
"evgLocus_771249" 41134.9067349269 4.76400159156929 0.849598667286422 5.60735530198662 2.05441641314729e-08 8.66793412034113e-07 "." "chr_05"
"evgLocus_642607" 80.0433143087336 9.62194259646804 1.71655099159642 5.60539281592764 2.0778317516033e-08 8.72153812026065e-07 "E75_MANSE" "chr_20"
"evgLocus_690707" 172.966629304376 6.8846131433976 1.22814705452352 5.60569120614681 2.07425489025812e-08 8.72153812026065e-07 "." "chr_19"
"evgLocus_182315" 1744.67218625398 8.96118841452732 1.59907909431437 5.60396821294795 2.09499144613551e-08 8.74846940814433e-07 "ILEU_XENTR" "chr_18"
"evgLocus_727343" 115.836041614128 10.1546813593609 1.81204448505006 5.60399120614321 2.09471339823204e-08 8.74846940814433e-07 "." NA
"evgLocus_225106" 85.4329187503204 5.98300602686419 1.06902397515093 5.59669957450623 2.18470800558198e-08 9.02407608123434e-07 "." "chr_11"
"evgLocus_483976" 273.402807831527 4.30205903613424 0.768828410296905 5.59560362041366 2.19855488450878e-08 9.04183455785607e-07 "RN_DROME" "chr_28"
"evgLocus_510243" 492.901489943105 5.4276959341989 0.9711494354765 5.58894000853305 2.2845985615343e-08 9.3456416489764e-07 "BMR1B_CHICK" "chr_05"
"evgLocus_119045" 400.150762270831 10.5770058544648 1.90282316984857 5.55858580138404 2.71969253019199e-08 1.09365216164708e-06 "MRP4_HUMAN" "chr_11"
"evgLocus_679233" 167.368308764145 6.83685063430257 1.23027121416286 5.55718979327231 2.74152613416494e-08 1.09971661628104e-06 "." "chr_07"
"evgLocus_281621" 82.3005863696648 9.66228396661163 1.73937671715314 5.55502662035516 2.77569456351234e-08 1.10934536467317e-06 "." "chr_12"
"evgLocus_342587" 76596.3461580995 5.22702226505156 0.941062889419432 5.55438145932654 2.78596496470175e-08 1.10934536467317e-06 "COX2_YPOMA" NA
"evgLocus_762583" 315.864284645794 9.3896440996042 1.69359600904846 5.54420537686537 2.95292080233789e-08 1.16162483543176e-06 "." "chr_Z"
"evgLocus_225634" 178.418776504234 6.81291107473179 1.22950767094965 5.54117004367254 3.00457277956289e-08 1.17626135307599e-06 "." "chr_14"
"evgLocus_280924" 263.281692897853 6.55664488832264 1.1833971836651 5.54052771024521 3.01561514203897e-08 1.17775319432246e-06 "." "chr_24"
"evgLocus_314691" 596.603769357675 7.06361149799117 1.27627816748607 5.53453916077292 3.12047708619583e-08 1.19921890372464e-06 "ATP5J_DROME" "chr_08"
"evgLocus_485401" 329.074909824278 6.55656466779911 1.1846122695471 5.53477693617492 3.11624692176679e-08 1.19921890372464e-06 "." "chr_06"
"evgLocus_790650" 94.4280249138953 5.45071314807479 0.984649951059913 5.53568620219545 3.10012179741648e-08 1.19921890372464e-06 "AT8B4_HUMAN" NA
"evgLocus_750586" 313.555965678773 7.48906345575694 1.35441119933697 5.52938683571362 3.21352019378459e-08 1.22853027877878e-06 "." "chr_20"
"evgLocus_281462" 85.1971439797684 6.75250396451628 1.22141897000212 5.52840927671574 3.23147462731193e-08 1.22962139673837e-06 "." NA
"evgLocus_331810" 358.480656349279 9.03325377915925 1.63695260271844 5.51833557316074 3.42225465998061e-08 1.29918040541828e-06 "." "chr_24"
"evgLocus_124235" 109.030309151817 5.82375812749932 1.05680913703129 5.51070001519764 3.57409409261691e-08 1.3505265984306e-06 "." NA
"evgLocus_326690" 1692.41782577064 10.9325585711296 1.98504684818082 5.5074561999122 3.64055950221249e-08 1.37245722344983e-06 "RL38_PLUXY" "chr_14"
"evgLocus_120470" 130.41582714913 10.3268486815908 1.87788002839828 5.49920576683427 3.81505731204489e-08 1.42832237664283e-06 "EIF3E_BOMMO" "chr_10"
"evgLocus_828031" 155.739504647449 5.67960836982074 1.03350141718567 5.49550128850998 3.89602099060517e-08 1.45195876093812e-06 "." "chr_01"
"evgLocus_726220" 138.196068296011 10.4099244226588 1.89757748592619 5.48590215675848 4.11364552181537e-08 1.51572015765351e-06 "." NA
"evgLocus_237075" 2150.69618533975 6.13103871143935 1.11782321825901 5.48480172114185 4.13933429430904e-08 1.51966352425717e-06 "COX1_CHOBI" NA
"evgLocus_626065" 152.522974198961 9.06911581271341 1.65354660729458 5.48464480692907 4.14300997648399e-08 1.51966352425717e-06 "." "chr_10"
"evgLocus_762450" 315.705948548481 11.6017020028505 2.11637458840269 5.48187549899037 4.20840362747148e-08 1.54018115678653e-06 "." "chr_16"
"evgLocus_457928" 205.760555470052 10.9841922523124 2.00527845185693 5.47763939822963 4.31037411784448e-08 1.57044189895336e-06 "." NA
"evgLocus_222713" 224.869322088891 11.1119118868432 2.03065263114237 5.47208898086721 4.44761405518588e-08 1.61322589093001e-06 "E75_MANSE" "chr_20"
"evgLocus_378528" 201.013531955657 5.30909988475785 0.970499101204733 5.47048408202272 4.48808017480546e-08 1.62428608281959e-06 "." "chr_20"
"evgLocus_450294" 88.8175389855585 6.03735164269312 1.10384821466639 5.46936758376493 4.51644199316401e-08 1.63092625943834e-06 "." NA
"evgLocus_314143" 149.126298202376 8.27189149724235 1.51284672279764 5.46776575087893 4.55743618161151e-08 1.64208862065763e-06 "." "chr_08"
"evgLocus_685915" 80.6118670123974 9.6317025803491 1.76180243426159 5.46695951432598 4.57820567001565e-08 1.64593063006346e-06 "EIF3C_BOMMO" "chr_02"
"evgLocus_760376" 289.772818719473 4.74679141874461 0.869473658954523 5.45938496222217 4.77786790588748e-08 1.70641133147551e-06 "COX2_GALME" "chr_26"
"evgLocus_296623" 175.103650879171 10.7515830981755 1.97275581392509 5.45003239746313 5.03606453047988e-08 1.79469030510712e-06 "CBR3_HUMAN" "chr_28"
"evgLocus_324996" 10988.1880464231 4.74670728199626 0.871044065408585 5.44944563713857 5.05270642490303e-08 1.79668945056705e-06 "RL34_AEDAL" "chr_05"
